GEO_ID,NAME,S1502_C01_001E
"test2","Test",00
08001,"Adams County, Colorado",78690
08003,"Alamosa County, Colorado",2409
08005,"Arapahoe County, Colorado",187205
08007,"Archuleta County, Colorado",3767
08009,"Baca County, Colorado",558
08011,"Bent County, Colorado",517
08013,"Boulder County, Colorado",132071
08014,"Broomfield County, Colorado",26198
08015,"Chaffee County, Colorado",5244
08017,"Cheyenne County, Colorado",257
08019,"Clear Creek County, Colorado",3546
08021,"Conejos County, Colorado",1109
08023,"Costilla County, Colorado",539
08025,"Crowley County, Colorado",351
08027,"Custer County, Colorado",1240
08029,"Delta County, Colorado",4835
08031,"Denver County, Colorado",251499
08033,"Dolores County, Colorado",337
08035,"Douglas County, Colorado",128705
08037,"Eagle County, Colorado",18161
08039,"Elbert County, Colorado",6564
08041,"El Paso County, Colorado",174144
08043,"Fremont County, Colorado",6820
08045,"Garfield County, Colorado",12179
08047,"Gilpin County, Colorado",1948
08049,"Grand County, Colorado",4396
08051,"Gunnison County, Colorado",5959
08053,"Hinsdale County, Colorado",321
08055,"Huerfano County, Colorado",1103
08057,"Jackson County, Colorado",195
08059,"Jefferson County, Colorado",187387
08061,"Kiowa County, Colorado",213
08063,"Kit Carson County, Colorado",972
08065,"Lake County, Colorado",1799
08067,"La Plata County, Colorado",17588
08069,"Larimer County, Colorado",107189
08071,"Las Animas County, Colorado",2058
08073,"Lincoln County, Colorado",518
08075,"Logan County, Colorado",3063
08077,"Mesa County, Colorado",29392
08079,"Mineral County, Colorado",324
08081,"Moffat County, Colorado",1563
08083,"Montezuma County, Colorado",5510
08085,"Montrose County, Colorado",7487
08087,"Morgan County, Colorado",3216
08089,"Otero County, Colorado",2258
08091,"Ouray County, Colorado",1840
08093,"Park County, Colorado",4216
08095,"Phillips County, Colorado",667
08097,"Pitkin County, Colorado",8316
08099,"Prowers County, Colorado",1425
08101,"Pueblo County, Colorado",24679
08103,"Rio Blanco County, Colorado",958
08105,"Rio Grande County, Colorado",1873
08107,"Routt County, Colorado",9241
08109,"Saguache County, Colorado",1067
08111,"San Juan County, Colorado",173
08113,"San Miguel County, Colorado",3593
08115,"Sedgwick County, Colorado",315
08117,"Summit County, Colorado",12232
08119,"Teller County, Colorado",7062
08121,"Washington County, Colorado",521
08123,"Weld County, Colorado",54106
08125,"Yuma County, Colorado",1446